SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 16:11:43.414961,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-67
1,DC:A6:32:55:B6:94,2020-07-25 16:11:45.419950,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-65
2,DC:A6:32:55:B6:94,2020-07-25 16:11:47.424102,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-60
3,DC:A6:32:55:B6:94,2020-07-25 16:11:49.429779,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-60
4,DC:A6:32:55:B6:94,2020-07-25 16:11:51.195831,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-67
5,DC:A6:32:55:B6:94,2020-07-25 16:11:53.200877,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-61
6,DC:A6:32:55:B6:94,2020-07-25 16:11:55.205750,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-60
7,DC:A6:32:55:B6:94,2020-07-25 16:11:57.210648,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-67
8,DC:A6:32:55:B6:94,2020-07-25 16:11:59.215684,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-66
9,DC:A6:32:55:B6:94,2020-07-25 16:12:01.220562,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-66
10,DC:A6:32:55:B6:94,2020-07-25 16:12:02.502971,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-67
11,DC:A6:32:55:B6:94,2020-07-25 16:12:03.416081,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-64
12,DC:A6:32:55:B6:94,2020-07-25 16:12:05.421736,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-60
13,DC:A6:32:55:B6:94,2020-07-25 16:12:07.426611,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-65
14,DC:A6:32:55:B6:94,2020-07-25 16:12:09.113343,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-60
15,DC:A6:32:55:B6:94,2020-07-25 16:12:11.119033,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-67
16,DC:A6:32:55:B6:94,2020-07-25 16:12:13.123972,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-63
17,DC:A6:32:55:B6:94,2020-07-25 16:12:15.128879,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-63
18,DC:A6:32:55:B6:94,2020-07-25 16:12:17.133220,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-61
19,DC:A6:32:55:B6:94,2020-07-25 16:12:19.138806,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-63
20,DC:A6:32:55:B6:94,2020-07-25 16:12:21.143693,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-64
21,DC:A6:32:55:B6:94,2020-07-25 16:12:23.148756,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-66
22,DC:A6:32:55:B6:94,2020-07-25 16:12:25.153701,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-68
23,DC:A6:32:55:B6:94,2020-07-25 16:12:27.158633,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-68
24,DC:A6:32:55:B6:94,2020-07-25 16:12:29.162982,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-69
25,DC:A6:32:55:B6:94,2020-07-25 16:12:31.168562,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-68
26,DC:A6:32:55:B6:94,2020-07-25 16:12:33.173492,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-61
27,DC:A6:32:55:B6:94,2020-07-25 16:12:35.178356,62f3c090-cebb-11ea-ae4d-dca63255b693,1,1,1,-68
